samples,computations,losses,val_losses,train_losses
0,0,0.011276458191871643,0.01134879549172733,0.008378081168534689
10000,100,0.011870853418111801,0.012074696229520907,0.008642739281276467
20000,200,0.01185517491698265,0.012090616770319324,0.008863836328026451
30000,300,0.011769787859916687,0.011993126536491308,0.008493866454059768
40000,400,0.011249457508325577,0.011595484583618717,0.00796281036833717
51666,500,0.012122802311182021,0.012190922139959424,0.008417082264621014
61666,600,0.012068837589025497,0.012151764033937557,0.00859477157577438
71666,700,0.011940359282493592,0.0122058676434616,0.008200878809848006
81666,800,0.011576571154594421,0.011718689115149871,0.007635001336876477
93332,900,0.011587802952528,0.01161113821232894,0.00745328609074655
103332,1000,0.012454022222757339,0.012534105794905243,0.008350051851867227
113332,1100,0.012006504303216934,0.012054670320473788,0.007623521542518234
123332,1200,0.01165108100771904,0.011929119830512588,0.0073708273083799855
134998,1300,0.012544771254062653,0.012734361366599705,0.007828666395880809
144998,1400,0.01219796814918518,0.012276937256678706,0.007307389878662481
154998,1500,0.011562295401096344,0.011673543553058266,0.006796743351870833
164998,1600,0.012562198376655578,0.012783368399940237,0.0076750199591805075
176664,1700,0.012128661859035493,0.012143061963207922,0.00709924865663352
186664,1800,0.013124006271362305,0.013272400164964646,0.007779732631211067
196664,1900,0.012348833495378493,0.012545585546500397,0.007056121311494222
206664,2000,0.011825501585006714,0.01193899905364062,0.006767475294728083
218330,2100,0.012627490985393524,0.01279015729316911,0.006959292393018422
228330,2200,0.012233952528238296,0.012342608458480304,0.0064786825902530785
238330,2300,0.012301239317655564,0.01270756617506717,0.0065687899463251
248330,2400,0.012425798416137696,0.012600927951383397,0.006514878423473858
259996,2500,0.012818585664033889,0.013077734949664873,0.006674863902696101
269996,2600,0.01311651908159256,0.013394980757305712,0.0068705697870572666
279996,2700,0.012784547710418702,0.013025262600688417,0.006252883083791847
289996,2800,0.012880910408496857,0.01298599047056628,0.006415940124142938
301662,2900,0.012563395822048188,0.01255289177857974,0.006020329337230379
311662,3000,0.013627725052833557,0.01374629242173596,0.006864938096570275
321662,3100,0.012935145270824433,0.013323414138332098,0.0064062180395162505
331662,3200,0.01260975758433342,0.012922899905285562,0.005875383424116887
343328,3300,0.01345858393907547,0.013668479344700063,0.005830532594780672
353328,3400,0.013545791566371918,0.01372448233554539,0.006050345759828269
