samples,computations,losses
1000,10.0,1.0110140204429627
2000,20.0,0.779847326874733
3000,30.0,0.3025538045167923
4000,40.0,0.28272927552461624
5000,50.0,0.2771938341856003
6000,60.0,0.2747937235236168
7000,70.0,0.27360296100378034
8000,80.0,0.27297460824251174
9000,90.0,0.2725417059659958
10000,100.0,0.2720215088129044
11000,110.0,0.27172590494155885
12000,120.0,0.27168580442667006
13000,130.0,0.2718848365545273
14000,140.0,0.2712259593605995
15000,150.0,0.2715226435661316
16000,160.0,0.2711702439188957
17000,170.0,0.2709015899896622
18000,180.0,0.27117186188697817
19000,190.0,0.27069117963314054
20000,200.0,0.27105990797281265
21000,210.0,0.2710794213414192
22000,220.0,0.2709420865774155
23000,230.0,0.27096822530031206
24000,240.0,0.27071789413690567
25000,250.0,0.27079001665115354
26000,260.0,0.2705312344431877
27000,270.0,0.27062876969575883
28000,280.0,0.2706320920586586
29000,290.0,0.27046571046113965
30000,300.0,0.2708296602964401
31000,310.0,0.27059638649225237
32000,320.0,0.270797975063324
33000,330.0,0.27085847467184065
34000,340.0,0.27045407354831696
35000,350.0,0.2703437447547913
36000,360.0,0.2703081065416336
37000,370.0,0.2703590589761734
38000,380.0,0.270565647482872
39000,390.0,0.2707531240582466
40000,400.0,0.2704522177577019
41000,410.0,0.2704417575895786
42000,420.0,0.2705403055250645
43000,430.0,0.27066750958561897
44000,440.0,0.2702562922239304
45000,450.0,0.270533307492733
46000,460.0,0.27034640073776245
47000,470.0,0.270307959318161
48000,480.0,0.2705641883611679
49000,490.0,0.2705076974630356
50000,500.0,0.270423059463501
51000,510.0,0.2707808065414429
52000,520.0,0.27051461607217786
53000,530.0,0.270522418320179
54000,540.0,0.2702101218700409
55000,550.0,0.27058272048830984
56000,560.0,0.27050895810127257
57000,570.0,0.27022072434425354
58000,580.0,0.2704445159435272
59000,590.0,0.27034571081399916
60000,600.0,0.2706117585301399
61000,610.0,0.27024028688669205
62000,620.0,0.27031117528676984
63000,630.0,0.27037454932928084
64000,640.0,0.2703507813811302
65000,650.0,0.2703816631436348
66000,660.0,0.27096430778503416
67000,670.0,0.27061637610197065
68000,680.0,0.2708402916789055
69000,690.0,0.27038654625415803
70000,700.0,0.2706860980391502
71000,710.0,0.270365871489048
72000,720.0,0.27038382589817045
73000,730.0,0.27035697788000107
74000,740.0,0.27085063338279725
75000,750.0,0.27036687403917314
76000,760.0,0.2705057626962662
77000,770.0,0.270451976954937
78000,780.0,0.2703974610567093
79000,790.0,0.2705534708499908
80000,800.0,0.2703901156783104
81000,810.0,0.2706211519241333
82000,820.0,0.27077021077275276
83000,830.0,0.27028254196047785
84000,840.0,0.2703688296675682
85000,850.0,0.27054430186748507
86000,860.0,0.2706209224462509
87000,870.0,0.27041818559169767
88000,880.0,0.27031430691480635
89000,890.0,0.2705011197924614
90000,900.0,0.27071972101926806
91000,910.0,0.270127135515213
92000,920.0,0.2703573298454285
93000,930.0,0.2703144699335098
94000,940.0,0.27031504690647123
95000,950.0,0.2702676865458489
96000,960.0,0.27052032470703125
97000,970.0,0.2708377268910408
98000,980.0,0.27048534512519834
99000,990.0,0.27066223621368407
100000,1000.0,0.27030825763940813
101000,1010.0,0.27066308945417406
102000,1020.0,0.27045399993658065
103000,1030.0,0.2702628594636917
104000,1040.0,0.2703710588812828
105000,1050.0,0.2703455191850662
106000,1060.0,0.27044339895248415
107000,1070.0,0.27032599717378614
108000,1080.0,0.2705788069963455
109000,1090.0,0.2703152087330818
110000,1100.0,0.27026218205690383
111000,1110.0,0.2702645221352577
112000,1120.0,0.2703926068544388
113000,1130.0,0.27034969329833985
114000,1140.0,0.27004888504743574
115000,1150.0,0.2702906963229179
116000,1160.0,0.2702981285750866
117000,1170.0,0.27021516144275665
118000,1180.0,0.27054478019475936
119000,1190.0,0.27028456270694734
120000,1200.0,0.2703331908583641
121000,1210.0,0.27051239579916
122000,1220.0,0.2702059915661812
123000,1230.0,0.2702166776359081
124000,1240.0,0.27021439403295516
125000,1250.0,0.2702102017402649
126000,1260.0,0.2700839340686798
127000,1270.0,0.2704725882411003
128000,1280.0,0.2702534693479538
129000,1290.0,0.27003458559513094
130000,1300.0,0.27012401312589646
131000,1310.0,0.27038357794284823
132000,1320.0,0.2699971368908882
133000,1330.0,0.27016195029020307
134000,1340.0,0.2701018977165222
135000,1350.0,0.27038969218730924
136000,1360.0,0.27018163293600084
137000,1370.0,0.2704282306134701
138000,1380.0,0.2703082039952278
139000,1390.0,0.2703759679198265
140000,1400.0,0.27013559356331823
141000,1410.0,0.2701717185974121
142000,1420.0,0.27017121881246564
143000,1430.0,0.2701704701781273
144000,1440.0,0.27014430820941926
145000,1450.0,0.27018188655376435
146000,1460.0,0.2702223020792007
147000,1470.0,0.2702090565860271
148000,1480.0,0.2703729194402695
149000,1490.0,0.27039086520671846
150000,1500.0,0.27042608201503754
151000,1510.0,0.2702403485774994
152000,1520.0,0.2702683538198471
153000,1530.0,0.27019337028265
154000,1540.0,0.2701861262321472
155000,1550.0,0.27025283843278886
156000,1560.0,0.27031812593340876
157000,1570.0,0.27013921648263933
158000,1580.0,0.2701581832766533
159000,1590.0,0.27024859994649886
160000,1600.0,0.2700997665524483
161000,1610.0,0.27050523161888124
162000,1620.0,0.270187172293663
163000,1630.0,0.27030692875385287
164000,1640.0,0.2699957591295242
165000,1650.0,0.2700160011649132
166000,1660.0,0.2700561797618866
167000,1670.0,0.27039623200893403
168000,1680.0,0.2701476229727268
169000,1690.0,0.2701083531975746
170000,1700.0,0.2701525428891182
171000,1710.0,0.27011212676763535
172000,1720.0,0.2702742341160774
173000,1730.0,0.2703265655040741
174000,1740.0,0.27016152277588845
175000,1750.0,0.2702333328127861
176000,1760.0,0.27042409986257554
177000,1770.0,0.2702418062090874
178000,1780.0,0.2701533618569374
179000,1790.0,0.2705120787024498
180000,1800.0,0.2701313605904579
181000,1810.0,0.2703046464920044
182000,1820.0,0.2702771285176277
183000,1830.0,0.2699821311235428
184000,1840.0,0.2701519288122654
185000,1850.0,0.2702498629689217
186000,1860.0,0.2700784419476986
187000,1870.0,0.27011687844991683
188000,1880.0,0.270277406424284
189000,1890.0,0.27027204871177674
190000,1900.0,0.2704474340379238
191000,1910.0,0.27005923420190814
192000,1920.0,0.2699521042406559
193000,1930.0,0.27025443404912947
194000,1940.0,0.2700939729809761
195000,1950.0,0.270120767056942
196000,1960.0,0.2704750341176987
197000,1970.0,0.27011521518230436
198000,1980.0,0.2701778072118759
199000,1990.0,0.2700124374032021
200000,2000.0,0.27002058416604996
201000,2010.0,0.2700864624977112
202000,2020.0,0.270077269077301
203000,2030.0,0.2700440849363804
204000,2040.0,0.2701495459675789
205000,2050.0,0.2701050913333893
206000,2060.0,0.2699747532606125
207000,2070.0,0.2699809017777443
208000,2080.0,0.27010930091142654
209000,2090.0,0.26999776214361193
210000,2100.0,0.27005708038806914
211000,2110.0,0.2700656747817993
212000,2120.0,0.27016262590885165
213000,2130.0,0.2701616558432579
214000,2140.0,0.2702053344249725
215000,2150.0,0.27003770172595976
216000,2160.0,0.2702114549279213
217000,2170.0,0.27023045539855955
218000,2180.0,0.27003425508737566
219000,2190.0,0.270094970613718
220000,2200.0,0.2701143103837967
221000,2210.0,0.270250036418438
222000,2220.0,0.2702492132782936
223000,2230.0,0.27012762904167176
224000,2240.0,0.2701899400353432
225000,2250.0,0.2703254321217537
226000,2260.0,0.2702743232250214
227000,2270.0,0.27016417294740674
228000,2280.0,0.26999894231557847
229000,2290.0,0.2701510536670685
230000,2300.0,0.2700063070654869
231000,2310.0,0.2700493264198303
232000,2320.0,0.27019350200891495
233000,2330.0,0.2701742845773697
234000,2340.0,0.27010873407125474
235000,2350.0,0.27004836827516554
236000,2360.0,0.27010709553956985
237000,2370.0,0.27006921291351316
238000,2380.0,0.27006371289491654
239000,2390.0,0.2699716806411743
240000,2400.0,0.27018469586968424
241000,2410.0,0.27004934668540953
242000,2420.0,0.27011011689901354
243000,2430.0,0.27003117486834527
244000,2440.0,0.27010000199079515
245000,2450.0,0.26994476079940793
246000,2460.0,0.2700018560886383
247000,2470.0,0.2699037820100784
248000,2480.0,0.270026133954525
249000,2490.0,0.2700509457290173
250000,2500.0,0.2701105943322182
251000,2510.0,0.270091210603714
252000,2520.0,0.2701113176345825
253000,2530.0,0.27004808202385905
254000,2540.0,0.2700833196938038
255000,2550.0,0.2700884997844696
256000,2560.0,0.2700914719700813
257000,2570.0,0.2701075705885887
258000,2580.0,0.27007449194788935
259000,2590.0,0.27007826894521714
260000,2600.0,0.2701309984922409
261000,2610.0,0.26995875805616376
262000,2620.0,0.27016144663095476
263000,2630.0,0.26999984830617907
264000,2640.0,0.2701162806153297
265000,2650.0,0.27005255579948423
266000,2660.0,0.27005384624004364
267000,2670.0,0.2702810998260975
268000,2680.0,0.26998304516077043
269000,2690.0,0.2701476335525513
270000,2700.0,0.27007318049669266
271000,2710.0,0.2700568842887878
272000,2720.0,0.2699750339984894
273000,2730.0,0.27014573365449907
274000,2740.0,0.269995414018631
275000,2750.0,0.2699935784935951
276000,2760.0,0.26998824954032896
277000,2770.0,0.2700138834118843
278000,2780.0,0.2699419316649437
279000,2790.0,0.269987508058548
280000,2800.0,0.2700944599509239
281000,2810.0,0.27003887206315996
282000,2820.0,0.2701300786435604
283000,2830.0,0.27005770325660705
284000,2840.0,0.2701362019777298
285000,2850.0,0.2700095999240875
286000,2860.0,0.27000755310058594
287000,2870.0,0.2700593602657318
288000,2880.0,0.27004766583442685
289000,2890.0,0.2701465865969658
290000,2900.0,0.2700787292420864
291000,2910.0,0.2699934443831444
292000,2920.0,0.2699780625104904
293000,2930.0,0.27005723133683207
294000,2940.0,0.27015339225530627
295000,2950.0,0.270063681602478
296000,2960.0,0.2700585880875587
297000,2970.0,0.27008423656225206
298000,2980.0,0.2702277299761772
299000,2990.0,0.2700438904762268
300000,3000.0,0.27013891622424124
301000,3010.0,0.2702276510000229
302000,3020.0,0.27000689566135405
303000,3030.0,0.270017646253109
304000,3040.0,0.2699324542284012
305000,3050.0,0.27000617802143095
306000,3060.0,0.26993693709373473
307000,3070.0,0.2699883832037449
308000,3080.0,0.2700107064843178
309000,3090.0,0.26994361728429794
310000,3100.0,0.2699467885494232
311000,3110.0,0.26998366743326185
312000,3120.0,0.26995852053165437
313000,3130.0,0.27008538484573363
314000,3140.0,0.2699781601130962
315000,3150.0,0.2700621823966503
316000,3160.0,0.27007643818855287
317000,3170.0,0.27002643659710884
318000,3180.0,0.2700535616278648
319000,3190.0,0.26994827955961226
320000,3200.0,0.26988102108240125
321000,3210.0,0.2699160870909691
322000,3220.0,0.26996051833033563
323000,3230.0,0.26995509952306745
324000,3240.0,0.27003670573234556
325000,3250.0,0.27002641528844834
326000,3260.0,0.26996678233146665
327000,3270.0,0.2700406649708748
328000,3280.0,0.2699823644757271
329000,3290.0,0.2700791987776756
330000,3300.0,0.2700987061858177
331000,3310.0,0.269978529214859
332000,3320.0,0.2700566871464252
333000,3330.0,0.2699328511953354
334000,3340.0,0.2699393579363823
335000,3350.0,0.2699564138054848
336000,3360.0,0.2699976053833961
337000,3370.0,0.2699667929112911
338000,3380.0,0.2698958519101143
339000,3390.0,0.27003015726804735
340000,3400.0,0.26995358437299727
341000,3410.0,0.2699350166320801
342000,3420.0,0.27006242603063585
343000,3430.0,0.2699611055850983
344000,3440.0,0.26998175427317617
345000,3450.0,0.26995020151138305
346000,3460.0,0.26996437773108484
347000,3470.0,0.2699115175008774
348000,3480.0,0.26993046686053274
349000,3490.0,0.26999695390462874
350000,3500.0,0.27010305151343345
351000,3510.0,0.27001344472169875
352000,3520.0,0.2701038059592247
353000,3530.0,0.2700254590809345
354000,3540.0,0.2700509089231491
355000,3550.0,0.2698771530389786
356000,3560.0,0.269948907494545
357000,3570.0,0.2701028986275196
358000,3580.0,0.2701468786597252
359000,3590.0,0.27010890424251555
