samples,computations,losses
1000,10.0,1.0110140204429627
2000,20.0,0.6023739576339722
3000,30.0,0.27820303082466125
4000,40.0,0.26881941288709643
5000,50.0,0.26437389850616455
6000,60.0,0.25650818675756454
7000,70.0,0.25327619835734366
8000,80.0,0.25006211817264556
9000,90.0,0.24904920652508736
10000,100.0,0.24695790708065032
11000,110.0,0.24639151990413666
12000,120.0,0.24673405200242995
13000,130.0,0.24563310727477072
14000,140.0,0.24426868483424186
15000,150.0,0.24470299512147903
16000,160.0,0.24350376054644585
17000,170.0,0.24275046154856683
18000,180.0,0.24391839623451234
19000,190.0,0.24184713900089264
20000,200.0,0.24279962882399558
21000,210.0,0.24213265463709832
22000,220.0,0.24140545397996901
23000,230.0,0.24029967397451402
24000,240.0,0.23905060380697252
25000,250.0,0.23789755448699
26000,260.0,0.23628657311201096
27000,270.0,0.23473578333854675
28000,280.0,0.2329224453866482
29000,290.0,0.2314118391275406
30000,300.0,0.22696695014834403
31000,310.0,0.2280375948548317
32000,320.0,0.2212445032596588
33000,330.0,0.22314439877867698
34000,340.0,0.21636006057262422
35000,350.0,0.21242263406515122
36000,360.0,0.2082400706410408
37000,370.0,0.20829229861497878
38000,380.0,0.20649043828248978
39000,390.0,0.2032935333251953
40000,400.0,0.20208172038197517
41000,410.0,0.2002296866476536
42000,420.0,0.19805842727422715
43000,430.0,0.19718571305274962
44000,440.0,0.1954380179941654
45000,450.0,0.19414465710520745
46000,460.0,0.19192665979266166
47000,470.0,0.19127732187509536
48000,480.0,0.19115736946463585
49000,490.0,0.18861691236495973
50000,500.0,0.1862059624493122
51000,510.0,0.18825008124113082
52000,520.0,0.18432343408465385
53000,530.0,0.1826339164376259
54000,540.0,0.18233097612857818
55000,550.0,0.18188270255923272
56000,560.0,0.1787481564283371
57000,570.0,0.1779123954474926
58000,580.0,0.17862798079848288
59000,590.0,0.17615150883793831
60000,600.0,0.17959967762231827
61000,610.0,0.17310160741209984
62000,620.0,0.17461854338645935
63000,630.0,0.17122822120785713
64000,640.0,0.16934218779206275
65000,650.0,0.17058295950293542
66000,660.0,0.1701234509050846
67000,670.0,0.1682361727952957
68000,680.0,0.16788072675466537
69000,690.0,0.1658932822942734
70000,700.0,0.1680552051961422
71000,710.0,0.16434355169534684
72000,720.0,0.16418044045567512
73000,730.0,0.16378534644842146
74000,740.0,0.16421048641204833
75000,750.0,0.16214031621813774
76000,760.0,0.16153121128678322
77000,770.0,0.1610576705634594
78000,780.0,0.16027455314993858
79000,790.0,0.1610442590713501
80000,800.0,0.15910331055521965
81000,810.0,0.1592383213341236
82000,820.0,0.15860269576311112
83000,830.0,0.15743229627609254
84000,840.0,0.15665348261594772
85000,850.0,0.15645393148064612
86000,860.0,0.15657159343361854
87000,870.0,0.1556542333960533
88000,880.0,0.1571342743933201
89000,890.0,0.15510110601782798
90000,900.0,0.15452144533395767
91000,910.0,0.15357675328850745
92000,920.0,0.15293748155236245
93000,930.0,0.15317678064107895
94000,940.0,0.15207459703087806
95000,950.0,0.1524081039428711
96000,960.0,0.15149031847715377
97000,970.0,0.15189246445894242
98000,980.0,0.15291259109973906
99000,990.0,0.15074157252907752
100000,1000.0,0.15110463231801988
101000,1010.0,0.15043266728520394
102000,1020.0,0.14917313694953918
103000,1030.0,0.14867554143071174
104000,1040.0,0.14857496619224547
105000,1050.0,0.14807387426495552
106000,1060.0,0.1481809777021408
107000,1070.0,0.1473805460333824
108000,1080.0,0.1471691358089447
109000,1090.0,0.14661320731043814
110000,1100.0,0.1465262795984745
111000,1110.0,0.14768000945448875
112000,1120.0,0.14584743812680245
113000,1130.0,0.146405376046896
114000,1140.0,0.14543309047818184
115000,1150.0,0.14502475336194037
116000,1160.0,0.144904508292675
117000,1170.0,0.1445230522751808
118000,1180.0,0.14431424096226692
119000,1190.0,0.14365021511912346
120000,1200.0,0.14417456492781638
121000,1210.0,0.1437970881164074
122000,1220.0,0.1428572840988636
123000,1230.0,0.14249825358390808
124000,1240.0,0.14237827107310294
125000,1250.0,0.14228156283497811
126000,1260.0,0.14207214295864104
127000,1270.0,0.1418433004617691
128000,1280.0,0.14176637545228005
129000,1290.0,0.14150604486465454
130000,1300.0,0.1412144923210144
131000,1310.0,0.14127362690865994
132000,1320.0,0.1410915344953537
133000,1330.0,0.14077927082777023
134000,1340.0,0.14068756245076655
135000,1350.0,0.14073238775134086
136000,1360.0,0.14070293061435224
137000,1370.0,0.140264640301466
138000,1380.0,0.14004381865262985
139000,1390.0,0.14008723571896553
140000,1400.0,0.13981494069099426
141000,1410.0,0.13972347922623157
142000,1420.0,0.13951560989022255
143000,1430.0,0.13936383605003358
144000,1440.0,0.13913413986563683
145000,1450.0,0.13910124860703946
146000,1460.0,0.13914510279893874
147000,1470.0,0.13895317882299424
148000,1480.0,0.13872615702450275
149000,1490.0,0.13868046820163726
150000,1500.0,0.1386938077956438
151000,1510.0,0.13839817263185977
152000,1520.0,0.13829769872128964
153000,1530.0,0.13797001652419566
154000,1540.0,0.13799562498927118
155000,1550.0,0.13793125748634338
156000,1560.0,0.13776603743433952
157000,1570.0,0.13754525393247605
158000,1580.0,0.1374947175383568
159000,1590.0,0.13726445205509663
160000,1600.0,0.1372845797240734
161000,1610.0,0.13729058817029
162000,1620.0,0.1370093859732151
163000,1630.0,0.13681886456906794
164000,1640.0,0.13670969903469085
165000,1650.0,0.13655562773346902
166000,1660.0,0.13647530496120452
167000,1670.0,0.136517463773489
168000,1680.0,0.1363734683394432
169000,1690.0,0.13633017532527447
170000,1700.0,0.13640182875096798
171000,1710.0,0.13597759164869785
172000,1720.0,0.1358305685222149
173000,1730.0,0.13568722136318684
174000,1740.0,0.1355728120356798
175000,1750.0,0.1354583802819252
176000,1760.0,0.135443150177598
177000,1770.0,0.13533632047474384
178000,1780.0,0.13517770640552043
179000,1790.0,0.1351585850864649
180000,1800.0,0.13515233010053634
181000,1810.0,0.13484614312648774
182000,1820.0,0.13466992400586605
183000,1830.0,0.1344269099086523
184000,1840.0,0.1344004924595356
185000,1850.0,0.1344305171072483
186000,1860.0,0.13431048788130284
187000,1870.0,0.13420999810099601
188000,1880.0,0.13412059739232063
189000,1890.0,0.13406302243471147
190000,1900.0,0.1340338709950447
191000,1910.0,0.13394077911972999
192000,1920.0,0.13379147849977016
193000,1930.0,0.1337337417155504
194000,1940.0,0.13361085914075374
195000,1950.0,0.13363613247871398
196000,1960.0,0.13356102965772151
197000,1970.0,0.13339390426874162
198000,1980.0,0.133321233689785
199000,1990.0,0.13321843154728413
200000,2000.0,0.1332616476714611
201000,2010.0,0.13334900096058847
202000,2020.0,0.13302213557064532
203000,2030.0,0.1330153653770685
204000,2040.0,0.13301635824143887
205000,2050.0,0.13284532606601715
206000,2060.0,0.13275446318089962
207000,2070.0,0.13270757406949996
208000,2080.0,0.1326866649836302
209000,2090.0,0.13264288179576397
210000,2100.0,0.1324834641069174
211000,2110.0,0.13242433294653894
212000,2120.0,0.13240058064460755
213000,2130.0,0.13225043632090092
214000,2140.0,0.13226889088749885
215000,2150.0,0.1321726667881012
216000,2160.0,0.13232324264943598
