computations_done_times_samples,losses
0,0.0
3600,-0.00037226249696686864
7200,-0.00037226249696686864
10800,-0.00037226249696686864
14400,-0.0027553816325962543
18000,-0.0027279378846287727
21600,-0.0027279378846287727
25200,-0.003061852417886257
28800,-0.003670560894533992
32400,-0.003670560894533992
36000,-0.0035567404702305794
39600,-0.004331109579652548
43200,-0.004331109579652548
46800,-0.004439140670001507
50400,-0.004461660981178284
54000,-0.004649672191590071
57600,-0.005195015110075474
61200,-0.0050494312308728695
64800,-0.0050494312308728695
68400,-0.005176194943487644
72000,-0.00517291110008955
75600,-0.00532954465597868
79200,-0.00532954465597868
82800,-0.005311490036547184
86400,-0.005311490036547184
90000,-0.005193599499762058
93600,-0.00515581201761961
97200,-0.005013742949813604
100800,-0.00484912795946002
104400,-0.005034052766859531
108000,-0.004928364418447018
111600,-0.005178673658519983
115200,-0.005178673658519983
118800,-0.004957826342433691
122400,-0.005034631118178368
126000,-0.004846553783863783
129600,-0.0053014811128377914
133200,-0.005208675283938646
136800,-0.005208674818277359
140400,-0.005208674818277359
144000,-0.005208674818277359
147600,-0.005208674818277359
151200,-0.005208674818277359
154800,-0.005208674818277359
158400,-0.005179346539080143
162000,-0.005136970430612564
165600,-0.005136970430612564
169200,-0.00516114104539156
172800,-0.00516114104539156
176400,-0.00516114104539156
180000,-0.005107778590172529
183600,-0.005236896686255932
187200,-0.005236896686255932
190800,-0.005236896686255932
194400,-0.005290877539664507
198000,-0.0052946871146559715
201600,-0.005172454286366701
205200,-0.005172454286366701
208800,-0.005172454286366701
212400,-0.005172454286366701
216000,-0.005172454286366701
219600,-0.005172454286366701
223200,-0.005172454286366701
226800,-0.005075231194496155
230400,-0.004917576909065247
234000,-0.005181025713682175
237600,-0.005241357255727053
241200,-0.005241357255727053
244800,-0.005241357255727053
248400,-0.005241357255727053
252000,-0.005253132898360491
255600,-0.005253132898360491
259200,-0.005253132898360491
262800,-0.005253132898360491
266400,-0.005253132898360491
270000,-0.005253132898360491
273600,-0.005253132898360491
277200,-0.005285220220685005
280800,-0.005248612724244595
284400,-0.005248612724244595
288000,-0.005288589280098677
291600,-0.0052864523604512215
295200,-0.0052864523604512215
298800,-0.0052864523604512215
302400,-0.005192305892705917
306000,-0.005192305892705917
309600,-0.005192305892705917
313200,-0.005047413520514965
316800,-0.005105761345475912
320400,-0.005105761345475912
324000,-0.005269854329526424
327600,-0.005269854329526424
