samples,computations,losses,val_losses,train_losses
0,0,0.0232501033782959,0.02342766722186395,0.023272428883138862
10000,151.5151515151515,0.0200704785823822,0.02010323416565945,0.02011478408725493
20000,303.030303030303,0.01754432317018509,0.017675547854975313,0.017615748302664064
30000,454.5454545454545,0.016478747296333314,0.016687421510338012,0.016467781077881036
40000,606.060606060606,0.015850513863563537,0.015974369814620762,0.01580860606136184
50000,757.5757575757575,0.017324251222610474,0.017452997957627378,0.017135567934155
60000,909.090909090909,0.014387068045139314,0.014611943193783084,0.014143009049718587
70000,1060.6060606060605,0.014886016345024108,0.015182048304063226,0.014691885838453444
80000,1212.121212121212,0.014523798942565919,0.01471910676654077,0.014258983185807084
90000,1363.6363636363635,0.015575556075572967,0.015712937320025384,0.015139696295695235
100000,1515.151515151515,0.01396024661064148,0.014209968296492275,0.01350536219632981
110000,1666.6666666666665,0.014089555144309998,0.014433919382175439,0.013688554555737028
120000,1818.181818181818,0.013333319568634034,0.013515410719084917,0.01280282536293652
130000,1969.6969696969695,0.01407999849319458,0.014234406658577238,0.013384687513154508
140000,2121.212121212121,0.013840853893756867,0.01412867384046166,0.013185830586460006
150000,2272.7272727272725,0.013275467836856842,0.01360132552921157,0.012575248833814563
160000,2424.242424242424,0.012627649486064912,0.012854873261521524,0.011846239313998946
170000,2575.7575757575755,0.013881891345977783,0.014008545964233933,0.012909839472928394
180000,2727.272727272727,0.012450793743133544,0.012702518840301857,0.011454698707060264
190000,2878.7878787878785,0.013112878847122192,0.013405329093447915,0.012065748606367655
200000,3030.30303030303,0.012704595518112182,0.012988090908495906,0.011642059570644476
210000,3181.8181818181815,0.013244585758447646,0.013334278239888026,0.011926649826507851
220000,3333.333333333333,0.01264502232670784,0.012861846611601058,0.011316165846594525
230000,3484.8484848484845,0.012420763701200484,0.012683344453766331,0.011020199649591335
240000,3636.363636363636,0.01242784977555275,0.012634252876808583,0.010962456461906387
250000,3787.8787878787875,0.012766795152425766,0.012865753061684996,0.011072719587238523
260000,3939.393939393939,0.014050705099105835,0.014117516228584526,0.012390686142652324
270000,4090.9090909090905,0.01237583858370781,0.012611978140442612,0.010639359177901295
280000,4242.424242424242,0.012918534982204436,0.013002826901743215,0.011051353349153739
290000,4393.939393939394,0.013087383502721787,0.013225844431644382,0.011061421339850507
300000,4545.454545454546,0.013881524515151978,0.013946825061337622,0.0118675486010802
310000,4696.969696969698,0.012701671814918518,0.012919025581919206,0.010675726944901383
320000,4848.48484848485,0.012627602195739746,0.012693354644047604,0.010390723207385679
330000,5000.000000000002,0.012505103516578674,0.012523212663441332,0.010007851983446524
340000,5151.515151515154,0.01553550717830658,0.015547970787695566,0.013184329698416868
350000,5303.030303030306,0.012884575897455215,0.013150020772271629,0.010338649949801784
360000,5454.545454545458,0.012563101041316986,0.012660300206703222,0.009897349086249778
370000,5606.06060606061,0.014421020805835724,0.014466749597631372,0.011706629836232562
380000,5757.575757575762,0.01313523918390274,0.013276844515856548,0.010280249857876206
390000,5909.090909090914,0.012699628293514252,0.01291426404763504,0.00980928749946135
400000,6060.6060606060655,0.01240695828795433,0.012452911287867997,0.009245106084481928
410000,6212.1212121212175,0.012817789489030838,0.012812808209653378,0.009573650665955669
420000,6363.636363636369,0.017655500996112822,0.017671331530827998,0.014712684393295294
430000,6515.151515151521,0.013203985750675202,0.013559455218748821,0.009954175553181989
440000,6666.666666666673,0.01239200907945633,0.012426794755364425,0.00892407189567737
450000,6818.181818181825,0.01276762216091156,0.012830980138181352,0.00903039049130615
460000,6969.696969696977,0.016867410373687743,0.01678436582598264,0.013566578392425605
470000,7121.212121212129,0.013393085849285126,0.013805121719794276,0.009791073000380134
480000,7272.727272727281,0.012205619186162949,0.012274298746293473,0.008259411719736534
490000,7424.242424242433,0.01329946837425232,0.01325158211633917,0.009134757932478848
500000,7575.757575757585,0.014509213209152222,0.01439475385239292,0.010415824863952218
510000,7727.272727272737,0.014181302881240844,0.014653636607043543,0.010318373293950578
520000,7878.787878787889,0.012596609312295913,0.012534403517745742,0.008207053273683068
530000,8030.303030303041,0.014484030783176421,0.014341878989688608,0.00985950231838231
540000,8181.818181818193,0.013243605625629425,0.013193338766125487,0.008532251394676794
550000,8333.333333333345,0.012905950504541398,0.013233328998475043,0.008275026899255461
560000,8484.848484848497,0.01257765313386917,0.012557226468082352,0.007619537274000803
