samples,computations,losses,val_losses,train_losses
0,0,0.023671652388572693,0.023885339519975853,0.023686761840743774
10000,151.5151515151515,0.02337772262096405,0.0235814879144843,0.02339072196692928
20000,303.030303030303,0.023248512125015258,0.023448950557191508,0.023261430402796112
30000,454.5454545454545,0.023162269830703734,0.02335929012367243,0.02317514133677677
40000,606.060606060606,0.02310590777397156,0.023301747110154893,0.023118664847215437
50000,757.5757575757575,0.023053584265708922,0.02325086207992887,0.023066191851122842
60000,909.090909090909,0.02301440553665161,0.02320887020002145,0.023027385379236626
70000,1060.6060606060605,0.022979287910461426,0.023181375880478267,0.02299224893181482
80000,1212.121212121212,0.022944992208480834,0.023145887872884963,0.022958026052248014
90000,1363.6363636363635,0.02290538730621338,0.02310786694681613,0.022918383518858592
100000,1515.151515151515,0.0228723512172699,0.023074371854206743,0.022885694601289402
110000,1666.6666666666665,0.022837074637413024,0.023037337015251305,0.022850769695567083
120000,1818.181818181818,0.022799189972877502,0.02300077065993534,0.02281276051770283
130000,1969.6969696969695,0.02275607807636261,0.02295993991913142,0.022770014314125512
140000,2121.212121212121,0.022716849541664124,0.022920475407759006,0.02273083283051706
150000,2272.7272727272725,0.02267363028526306,0.022874978797625144,0.022687432546573943
160000,2424.242424242424,0.022629569721221925,0.022838786891647058,0.022643452175224427
170000,2575.7575757575755,0.02257468900680542,0.022783770359818357,0.022587985894697533
180000,2727.272727272727,0.02252245309352875,0.022731579720387505,0.02253615859031723
190000,2878.7878787878785,0.02246939437389374,0.02268020154647699,0.022483146099661323
200000,3030.30303030303,0.02241127018928528,0.022620490279906025,0.022425176155113403
210000,3181.8181818181815,0.022339643216133118,0.022552711717053114,0.022353511716551235
220000,3333.333333333333,0.02227367503643036,0.022491051849198623,0.022288347792077248
230000,3484.8484848484845,0.022204751944541933,0.022424491669938866,0.02221931800870667
240000,3636.363636363636,0.02213110785484314,0.022346724015161062,0.022146806339028987
250000,3787.8787878787875,0.02203844313621521,0.022257649929997788,0.02205497054195848
260000,3939.393939393939,0.021954346680641175,0.022178542965860828,0.021971783166267477
270000,4090.9090909090905,0.021865977120399477,0.022092030178250413,0.02188480871406833
280000,4242.424242424242,0.021772195386886597,0.022007090712955365,0.02179229265213104
290000,4393.939393939394,0.021663611102104186,0.02189512306590546,0.02168569206384646
300000,4545.454545454546,0.02156312692165375,0.02180250834754997,0.021586007811656604
310000,4696.969696969698,0.02146444835662842,0.021694043099179324,0.021490134291291117
320000,4848.48484848485,0.021363628721237184,0.021613881345959,0.021390225490983343
330000,5000.000000000002,0.021249194884300233,0.02149806106751389,0.021279770407967153
340000,5151.515151515154,0.021157572507858276,0.021403584716015077,0.021185868630308302
350000,5303.030303030306,0.021060227143764494,0.021333387752273884,0.02109177803355779
360000,5454.545454545458,0.02096722205877304,0.02123181677448226,0.020998183371599227
370000,5606.06060606061,0.020861084246635436,0.02113504466433762,0.020894017910434333
380000,5757.575757575762,0.020770003998279572,0.021037614013698424,0.020802122571662564
390000,5909.090909090914,0.02068058098554611,0.020956211605602983,0.02071607433038112
400000,6060.6060606060655,0.02059400497674942,0.020879870914915125,0.020628501331160152
410000,6212.1212121212175,0.020494384932518005,0.020764926497187294,0.020530908551680993
420000,6363.636363636369,0.020414529180526733,0.02068456523218743,0.02044792221470618
430000,6515.151515151521,0.02033125842809677,0.020610579203895623,0.020365872279775873
440000,6666.666666666673,0.0202554913520813,0.02053747610248248,0.020286658868463283
450000,6818.181818181825,0.020168744862079622,0.02044786603324328,0.0201975776511411
460000,6969.696969696977,0.020092655551433563,0.02036026637274383,0.020119242708092375
470000,7121.212121212129,0.020019142055511474,0.020288722132331953,0.02004354460036961
480000,7272.727272727281,0.019952006816864015,0.020232255950316212,0.01997822957713405
490000,7424.242424242433,0.01987295535802841,0.020133652531445556,0.019894651113375638
500000,7575.757575757585,0.01980585116147995,0.020086483429569348,0.01982925292459434
510000,7727.272727272737,0.019746081912517546,0.020039395559941203,0.019765123204938197
520000,7878.787878787889,0.019683852553367614,0.019963942845433572,0.019705005218628724
530000,8030.303030303041,0.019616527426242827,0.01989038304685259,0.019634986790098702
540000,8181.818181818193,0.019561714684963226,0.01982522249679529,0.019577715741697106
550000,8333.333333333345,0.019514794993400572,0.019786093713912798,0.019529490780339425
560000,8484.848484848497,0.019452638018131255,0.019725614853376733,0.019469041001611898
