samples,computations,losses,grad_norms,least_eig
0,0,1.067791223526001,,
110,5,0.6472453773021698,0.92261547,0.32078617811203003
220,10,0.4221205413341522,0.65327674,0.38875678181648254
330,15,0.3300562560558319,0.40727454,3.409644705243409e-05
440,20,0.3015424430370331,0.23675978,0.00025464940699748695
550,25,0.2918523669242859,0.15937692,3.050314262509346e-06
660,30,0.28662647902965543,0.14212,4.651478593586944e-05
770,35,0.2843127876520157,0.11475173,2.6433728635311127e-05
880,40,0.284424290060997,0.1332206,0.0032608951441943645
990,45,0.2846794366836548,0.14010769,0.00018540708697400987
1100,50,0.2843648463487625,0.13814259,0.010831267572939396
1210,55,0.2828926622867584,0.1395267,0.02018052339553833
1320,60,0.28129836916923523,0.12965465,0.0063400836661458015
1430,65,0.28063303530216216,0.124533586,0.0006690824520774186
1540,70,0.2808868855237961,0.109399796,6.998142634984106e-05
1650,75,0.2806833654642105,0.117601946,0.0005861172685399652
1760,80,0.2805700808763504,0.12981352,0.06056042015552521
1870,85,0.2801802843809128,0.12712884,0.05048543959856033
1980,90,0.2793122321367264,0.10970754,0.05084526538848877
2090,95,0.27803783118724823,0.12096653,8.808165148366243e-05
2200,100,0.2773809552192688,0.08555399,0.051070623099803925
2310,105,0.2768836408853531,0.08680031,0.041273657232522964
2420,110,0.2765278786420822,0.08421434,0.00011773986625485122
2530,115,0.2764167755842209,0.096804686,0.018310312181711197
2640,120,0.27651254236698153,0.07788402,0.043806903064250946
2750,125,0.27632897198200224,0.08429581,0.04044097289443016
2860,130,0.2759596794843674,0.07890203,0.021187443286180496
2970,135,0.2755734324455261,0.074009374,0.023891771212220192
3080,140,0.27514775693416593,0.07069227,0.02919049561023712
3190,145,0.2749828636646271,0.06329245,0.051824845373630524
3300,150,0.2751991510391235,0.07662402,0.0015277470229193568
3410,155,0.2752862960100174,0.06565292,0.000303582550259307
3520,160,0.2748425304889679,0.071907096,0.002635193057358265
3630,165,0.27404554188251495,0.06518451,0.015043807215988636
3740,170,0.2732845276594162,0.061838403,0.0008046927396208048
3850,175,0.27294584214687345,0.05365709,0.023155177012085915
3960,180,0.27295862436294555,0.058227606,0.013650166802108288
4070,185,0.2731667309999466,0.057085305,0.0012416522949934006
4180,190,0.2735601216554642,0.05381683,0.00888038519769907
4290,195,0.2735110819339752,0.06400869,0.01031747367233038
4400,200,0.27355418503284457,0.064666934,0.005439896136522293
4510,205,0.2734941363334656,0.055136304,0.0010377401486039162
4620,210,0.2731624484062195,0.067695074,8.252826955867931e-05
4730,215,0.2726681262254715,0.066747725,0.0018974988488480449
4840,220,0.2723590284585953,0.054671768,0.007105031982064247
4950,225,0.2721996456384659,0.04734294,3.6258392356103286e-05
5060,230,0.2721304386854172,0.051055875,0.00013591890456154943
5170,235,0.2720132201910019,0.04658216,0.005224873311817646
5280,240,0.27196225225925447,0.05290851,0.00011705584620358422
5390,245,0.2719383031129837,0.041935652,0.004765431862324476
5500,250,0.2718455672264099,0.03940885,6.375305383699015e-05
5610,255,0.27148314416408537,0.048112575,0.00027592352125793695
5720,260,0.2709393113851547,0.045862023,6.759375537512824e-05
5830,265,0.27030431032180785,0.03992957,0.0006078341393731534
5940,270,0.26963998973369596,0.042992454,5.2614461310440674e-05
6050,275,0.2685995638370514,0.04876286,0.00011892529437318444
6160,280,0.2668838441371918,0.04900257,5.9620517276925966e-05
6270,285,0.2644413113594055,0.04407783,0.00017765461234375834
6380,290,0.26165200471878053,0.047127247,4.877635365119204e-05
6490,295,0.25953429043292997,0.049637113,4.24406498495955e-05
6600,300,0.2588428884744644,0.04939216,8.849641017150134e-05
6710,305,0.2599984258413315,0.051059607,0.00010413402924314141
6820,310,0.25723686814308167,0.08541914,5.6082044466165826e-05
6930,315,0.2555971652269363,0.07155663,1.4900759197189473e-05
